doc_id,entity_type,entity_text
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Daevernomants Wers
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zjilafjep
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Pulau Nias
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Residences
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kalimantan
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Poeloe Rakata
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zilin
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Soerakarta
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Tji
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Idor
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kecamatannya
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Damme
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ferro
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Istana
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Sumenap
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Zji
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Serawak
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Barat Daya
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Karesidenan Palembang
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Kabupaten Lampong
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Ringat
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Jawa Timur
Ind_Buku Panduan Untuk Memahami Hindia-Belanda - Part 1_processed,LOCATION,Betavis Residence
